Date,1Y_US,10Y_US,1Y_JP,10Y_JP,1Y_CH,10Y_CH,1Y_EU,10Y_EU,SCE,IXIC,DJI,N225,HSI,STOXX,LTC-USD,BNB-USD,SOL-USD,DOGE-USD,ADA-USD,XRP-USD,BTC-USD,ETH-USD,first_diff_1Y_US,first_diff_10Y_US,first_diff_1Y_JP,first_diff_10Y_JP,first_diff_1Y_CH,first_diff_10Y_CH,first_diff_1Y_EU,first_diff_10Y_EU,log_return_SCE,log_return_IXIC,log_return_DJI,log_return_N225,log_return_HSI,log_return_STOXX,log_return_LTC-USD,log_return_BNB-USD,log_return_SOL-USD,log_return_DOGE-USD,log_return_ADA-USD,log_return_XRP-USD,log_return_BTC-USD,log_return_ETH-USD
2023-11-15,5.27,4.53,-0.075,0.807,2.1613,2.6633,3.420655,2.687105,3072.834961,14103.839844,34991.210938,33519.699219,18079.0,454.519989,74.080322,253.755341,65.534401,0.076356,0.379292,0.649648,37880.582031,2060.408447,0.0003,0.0009,-0.00014,-0.00053,-0.0001,6e-05,-0.000259,2.3e-05,0.00547077650387664,0.0006709616030007541,0.0046838891518075805,0.024882706610890974,0.038461349460356495,0.004233146392277071,0.04762045541468099,0.04634389166751146,0.14236349707721088,0.05241333158172902,0.058136565026147356,0.031230040728547237,0.06384619926967865,0.04028598697920784
2023-11-16,5.23,4.45,-0.081,0.798,2.1415,2.6558,3.392231,2.634927,3050.926025,14113.669922,34945.46875,33424.410156,17832.8203125,451.269989,71.179054,242.758881,57.871403,0.079277,0.371766,0.612168,36154.769531,1960.881592,-0.0004,-0.0008,-6e-05,-9e-05,-0.000198,-7.5e-05,-0.000284,-0.000522,-0.007155416263992649,0.0006967360677236511,-0.0013081031220424607,-0.0028468263524556764,-0.01371044640318387,-0.00717608722953452,-0.03995134723708488,-0.04430188694417178,-0.12435185158859326,0.03754143470201923,-0.020041732896825093,-0.05942392309790693,-0.046629756190980434,-0.04951007443713502
2023-11-17,5.24,4.44,-0.09,0.765,2.1221,2.6524,3.383558,2.641305,3054.370117,14125.480469,34947.28125,33585.199219,17454.189453125,455.820007,70.182335,244.745361,58.415936,0.086304,0.366609,0.613717,36596.683594,1961.280762,0.0001,-0.0001,-9e-05,-0.00033,-0.000194,-3.4e-05,-8.7e-05,6.4e-05,0.0011282310588147037,0.0008364662197765855,5.186517916121742e-05,0.004798994445281475,-0.021460894189995597,0.010032204481205923,-0.014101948554731314,0.008149635730085014,0.009365370035403681,0.08492789821664491,-0.013968739068859145,0.002527155197089912,0.012148746980425625,0.00020354588380111963
2023-11-18,5.24,4.44,-0.09,0.765,2.1221,2.6524,3.383558,2.641305,3054.370117,14125.480469,34947.28125,33585.199219,17454.189453125,455.820007,69.893806,244.95076,58.512726,0.080383,0.377694,0.611189,36585.703125,1963.285034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004119608178756833,0.0008388835575252702,0.0016555397188574557,-0.07107323591564597,0.029788458946295195,-0.00412766953425834,-0.0003000850224949625,0.0010213981767306364
2023-11-19,5.24,4.44,-0.09,0.765,2.1221,2.6524,3.383558,2.641305,3054.370117,14125.480469,34947.28125,33585.199219,17454.189453125,455.820007,70.640312,246.587784,61.393559,0.080576,0.384525,0.627499,37386.546875,2013.204468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010623940036820571,0.006660841036529789,0.0480606583290483,0.0023981273802082853,0.01792446236915149,0.026335837071014216,0.021653391391504333,0.02510860725621316
2023-11-20,5.25,4.42,-0.089,0.756,2.1477,2.6584,3.415619,2.660301,3068.319092,14284.530273,35151.039063,33388.03125,17778.0703125,456.26001,69.517738,253.635086,56.533833,0.077879,0.380682,0.612842,37476.957031,2022.239136,0.0001,-0.0002,1e-05,-9e-05,0.000256,6e-05,0.000321,0.00019,0.0045564942650105624,0.011196860649552031,0.005813502690323857,-0.005887980533188464,0.018385989733651322,0.0009648342819323012,-0.01601903001851818,0.028178512938052448,-0.08246565427630706,-0.03404449826739737,-0.010044425391096408,-0.023634923442393534,0.0024153344483238076,0.004477665397716542
2023-11-21,5.24,4.41,-0.089,0.712,2.2024,2.6684,3.404593,2.6242,3067.933105,14199.980469,35088.289063,33354.140625,17733.890625,455.850006,66.457382,226.486404,52.000473,0.072119,0.358631,0.580462,35813.8125,1937.066772,-0.0001,-0.0001,0.0,-0.00044,0.000547,0.0001,-0.00011,-0.000361,-0.00012580545522488165,-0.005936563424233405,-0.0017867487736044035,-0.0010155686265744016,-0.00248815943284906,-0.0008990231889203637,-0.04502107299347419,-0.1132116480970074,-0.08358645840012674,-0.07683880769475553,-0.05967037621706107,-0.05428281575113054,-0.04539262191527766,-0.043030524973172016
2023-11-22,5.26,4.42,-0.078,0.742,2.3112,2.6823,3.398317,2.585532,3043.611084,14265.860352,35273.03125,33451.828125,17734.599609375,457.23999,68.705589,236.136597,57.588558,0.075784,0.38066,0.611899,37432.339844,2064.425293,0.0002,0.0001,0.00011,0.0003,0.001088,0.000139,-6.3e-05,-0.000387,-0.007959412106742472,0.0046287057555625035,0.0052512548289476175,0.0029245162207182374,3.9978266365915906e-05,0.0030445740940887034,0.03326967959606027,0.04172552180110325,0.10207108744191166,0.04956965611350438,0.05961258352992126,0.052742898027549265,0.044201389474515074,0.06367702350900459
2023-11-23,5.26,4.42,-0.078,0.742,2.3264,2.7023,3.411755,2.665739,3061.855957,14265.860352,35273.03125,33451.828125,17910.83984375,458.470001,69.512451,233.765808,56.599369,0.0762,0.386675,0.620242,37289.621094,2062.210693,0.0,0.0,0.0,0.0,0.000152,0.0002,0.000134,0.000802,0.0059765869460049765,0.0,0.0,0.0,0.009888595747690557,0.0026864656973238075,0.011675337973184484,-0.010090644742838046,-0.017326065398716093,0.005474274119367209,0.015677958664565426,0.013542488250543858,-0.003819999415408281,-0.0010733198761012901
2023-11-24,5.27,4.47,-0.058,0.786,2.3317,2.7053,3.423658,2.686921,3040.971924,14250.849609,35390.148438,33625.53125,17559.419921875,459.980011,70.735954,232.900955,56.86644,0.078217,0.386213,0.621881,37720.28125,2081.1521,0.0001,0.0005,0.0002,0.00044,5.3e-05,3e-05,0.000119,0.000212,-0.006844077836354043,-0.0010527683177282215,0.003314803997121769,0.0051791995064881975,-0.01981555382201097,0.0032881732065984477,0.01744809917407028,-0.0037065163354317084,0.004707523712421232,0.0261255525369469,-0.0011955161809382208,0.002639031643779177,0.011482880916928222,0.009143075273879461
2023-11-25,5.27,4.47,-0.058,0.786,2.3317,2.7053,3.423658,2.686921,3040.971924,14250.849609,35390.148438,33625.53125,17559.419921875,459.980011,71.833366,234.439941,58.846489,0.078955,0.394811,0.623444,37796.792969,2084.413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015395088853654672,0.006586162590463988,0.034226811324096315,0.009391054689058891,0.022018138636630446,0.002510189421575583,0.0020263429422145507,0.001565687497638453
2023-11-26,5.27,4.47,-0.058,0.786,2.3317,2.7053,3.423658,2.686921,3040.971924,14250.849609,35390.148438,33625.53125,17559.419921875,459.980011,70.05899,232.047195,57.6427,0.078704,0.388185,0.616819,37479.121094,2063.286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025011474181216905,-0.010258662242620717,-0.020668559268863157,-0.003184089865622479,-0.01692513926787744,-0.010683319603959213,-0.008440249841035358,-0.010187400099471921
2023-11-27,5.24,4.39,-0.056,0.787,2.3889,2.7108,3.400711,2.628913,3031.699951,14241.019531,35333.46875,33447.671875,17525.060546875,458.410004,69.242332,227.421478,55.064621,0.078788,0.378359,0.604153,37254.167969,2027.417358,-0.0003,-0.0008,2e-05,1e-05,0.000572,5.5e-05,-0.000229,-0.00058,-0.003053674032087058,-0.0006900269225397479,-0.0016028507134786942,-0.005303453051143999,-0.001958665798982776,-0.003419045294021921,-0.0117251917561173,-0.020135750537923665,-0.045756189686435085,0.0010667209504642864,-0.025638549756057664,-0.020748148809922155,-0.006020176743881349,-0.017537176365216702
2023-11-28,5.21,4.34,-0.055,0.768,2.3564,2.6898,3.342862,2.589236,3038.550049,14281.759766,35416.980469,33408.390625,17354.140625,457.040009,69.737251,229.692963,58.19437,0.081009,0.385624,0.611422,37831.085938,2049.338135,-0.0003,-0.0005,1e-05,-0.00019,-0.000325,-0.00021,-0.000578,-0.000397,0.0022569419406926233,0.002856682533023416,0.0023607414145578043,-0.0011750992520731954,-0.009800757142977215,-0.00299305478898752,0.007122212938283356,0.009938446449991414,0.05528119184471456,0.027799558607719318,0.01901932110746057,0.011959914684007922,0.015367313617739587,0.010754134409723856
2023-11-29,5.12,4.27,-0.055,0.695,2.3566,2.6826,3.262072,2.483079,3021.687012,14258.490234,35430.421875,33321.21875,16993.439453125,459.100006,69.989349,227.342758,59.25013,0.080593,0.381776,0.609358,37858.492188,2029.929199,-0.0009,-0.0007,0.0,-0.00073,2e-06,-7.2e-05,-0.000808,-0.001062,-0.005565155406387566,-0.0016306470445184179,0.0003794466901130521,-0.002612690989917327,-0.02100377560760132,0.00449713021608675,0.0036084506965104748,-0.010284647820084453,0.017979359442627477,-0.005148462505381814,-0.01002875228375214,-0.0033814478721478306,0.000724175028485301,-0.009515964938315387
2023-11-30,5.16,4.37,-0.036,0.691,2.3367,2.668,3.264972,2.528502,3029.673096,14226.219727,35950.890625,33486.890625,17042.880859375,461.609985,69.44558,227.683807,59.241623,0.083417,0.375895,0.606358,37712.746094,2052.556152,0.0004,0.001,0.00019,-4e-05,-0.000199,-0.000146,2.9e-05,0.000454,0.002639435926405175,-0.0022658135435005633,0.014583031763386536,0.0049596438561248495,0.002905216578702427,0.005452281918208263,-0.0077996490629397746,0.0014990292439912324,-0.00014358805231982547,0.03444032841744655,-0.015524200107950912,-0.004935373211300502,-0.00385718900505034,0.011085004720933924
2023-12-01,5.05,4.22,-0.055,0.72,2.3439,2.6625,3.170244,2.479788,3031.635986,14305.030273,36245.5,33431.511719,16830.30078125,466.200012,71.544968,228.545639,59.803997,0.083857,0.384202,0.612915,38688.75,2087.139893,-0.0011,-0.0015,-0.00019,0.00029,7.2e-05,-5.5e-05,-0.000947,-0.000487,0.0006476785928789364,0.005524521108859695,0.008161377812058033,-0.0016551177763470403,-0.012551691853643644,0.009894406099249645,0.02978275082116014,0.003778068393834459,0.009448112134470919,0.005260841670587053,0.02185860687126055,0.01075569328945445,0.02555073010799917,0.016708736688136886
