Date,1Y_US,10Y_US,1Y_JP,10Y_JP,1Y_CH,10Y_CH,1Y_EU,10Y_EU,^HSI,^DJI,^STOXX,^IXIC,^N225,LTC-USD,BNB-USD,DOGE-USD,GC=F,ADA-USD,XRP-USD,ETH-USD,BTC-USD,first_diff_1Y_US,first_diff_10Y_US,first_diff_1Y_JP,first_diff_10Y_JP,first_diff_1Y_CH,first_diff_10Y_CH,first_diff_1Y_EU,first_diff_10Y_EU,log_return_^HSI,log_return_^DJI,log_return_^STOXX,log_return_^IXIC,log_return_^N225,log_return_LTC-USD,log_return_BNB-USD,log_return_DOGE-USD,log_return_GC=F,log_return_ADA-USD,log_return_XRP-USD,log_return_ETH-USD,log_return_BTC-USD
2019-05-13,2.32,2.4,-0.158,-0.043,2.6844,3.2709,-0.620568,-0.001242,28550.240234375,25324.990234375,372.5700073242188,7647.02001953125,21191.279296875,88.05823516845703,23.81102752685547,0.0027560000307857,1300.0999755859375,0.073072001338005,0.3254750072956085,196.8462829589844,7814.9150390625,-0.0004,-0.0007,-2e-05,1e-05,-6e-06,-0.000308,-1.65e-05,-0.0002227,0.0,-0.02408584175359968,-0.012191550852935188,-0.03468872811374895,-0.007224025464697813,0.04047181591698262,0.13374027881213493,0.03357629306095566,0.011137886677169313,0.04172218182366097,0.04847469252775476,0.049576364066733956,0.11407866972300376
2019-05-14,2.32,2.42,-0.159,-0.048,2.6783,3.2859,-0.627494,-0.017224,28122.01953125,25532.05078125,376.3399963378906,7734.490234375,21067.23046875,91.6204071044922,23.62641906738281,0.0030680000782012,1294.699951171875,0.0845049992203712,0.409061998128891,217.1485748291016,7994.416015625,0.0,0.0002,-1e-05,-5e-05,-6.1e-05,0.00015,-6.93e-05,-0.0001598,-0.015112467893718623,0.00814289179486561,0.010068021098956126,0.011373546070427369,-0.00587096824403679,0.03965567296337112,-0.007783276912292452,0.107245544672478,-0.004162195438771078,0.14536542023094232,0.22858105302349607,0.09815866128280881,0.022709207625678487
2019-05-15,2.3,2.37,-0.16,-0.048,2.6848,3.2762,-0.634163,-0.053947,28268.7109375,25648.01953125,378.05999755859375,7822.14990234375,21188.560546875,101.74456787109376,26.894939422607425,0.0033080000430345,1296.300048828125,0.0939510017633438,0.4560050070285797,247.15306091308597,8205.16796875,-0.0002,-0.0005,-1e-05,0.0,6.5e-05,-9.7e-05,-6.67e-05,-0.0003672,0.005202689729930755,0.004531801061031077,0.004559926338652373,0.011269862258100203,0.005742664313972251,0.10481140403055467,0.12957260543619273,0.07531788117634651,0.0012351199225512385,0.10596269354677998,0.10863706055771329,0.12942602862763897,0.02602089592487963
2019-05-16,2.33,2.4,-0.16,-0.058,2.683,3.2662,-0.622099,-0.028031,28275.0703125,25862.6796875,382.8800048828125,7898.0498046875,21062.98046875,95.58558654785156,26.3258056640625,0.003167999908328,1285.0,0.0881609991192817,0.4197070002555847,264.010009765625,7884.9091796875,0.0003,0.0003,0.0,-0.0001,-1.8e-05,-0.0001,0.0001206,0.0002592,0.00022493631965274708,0.008334633469869547,0.012668730188619136,0.009656428485821406,-0.005944419772577545,-0.06244339551853314,-0.021388481281812134,-0.04324334515535463,-0.008755371943979367,-0.06360871016804946,-0.08294694039057836,0.06597919369062263,-0.03981349360704293
2019-05-17,2.33,2.39,-0.161,-0.053,2.6775,3.2665,-0.618401,-0.04462,27946.4609375,25764.0,381.510009765625,7816.27978515625,21250.08984375,88.99523162841797,25.68257141113281,0.0029619999695569,1274.5,0.0832599997520446,0.3861930072307586,243.76458740234372,7343.8955078125,0.0,-0.0001,-1e-05,5e-05,-5.5e-05,3e-06,3.7e-05,-0.0001659,-0.011689938351094154,-0.003822822163751256,-0.0035845486148540326,-0.010407158268862267,0.008844103877563713,-0.07143924927471319,-0.02473705543344491,-0.06723573944758988,-0.00820477351315001,-0.05719643957434764,-0.08321958615970174,-0.0797840643659378,-0.07108127725881802
2019-05-18,2.33,2.39,-0.161,-0.053,2.6775,3.2665,-0.618401,-0.04462,27946.4609375,25764.0,381.510009765625,7816.27978515625,21250.08984375,86.70018768310547,28.39679336547852,0.0030050000641494,1274.5,0.0791039988398552,0.3727360069751739,234.59523010253903,7271.2080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026126742562188998,0.10046362248505737,0.01441288376700437,0.0,-0.0512048110596431,-0.03546685026215584,-0.03834134987153774,-0.009946983850618235
2019-05-19,2.33,2.39,-0.161,-0.053,2.6775,3.2665,-0.618401,-0.04462,27946.4609375,25764.0,381.510009765625,7816.27978515625,21250.08984375,95.32119750976562,29.412843704223636,0.0031779999844729,1274.5,0.0869959965348243,0.4176999926567077,261.2922058105469,8197.689453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479616667409048,0.03515521051053165,0.05597447389399072,0.0,0.09509867302557576,0.11389304095532767,0.10777773960355301,0.11992989942799603
2019-05-20,2.34,2.41,-0.155,-0.042,2.6593,3.2717,-0.613448,-0.027946,27787.609375,25679.900390625,377.4599914550781,7702.3798828125,21301.73046875,91.4936752319336,29.30538749694824,0.0030410001054406,1276.0999755859375,0.0848480015993118,0.3980030119419098,251.86441040039065,7978.30908203125,0.0001,0.0002,6e-05,0.00011,-0.000182,5.2e-05,4.95e-05,0.0001667,-0.00570035498047291,-0.0032695687401496933,-0.010672508126022688,-0.014679353767466347,0.002427188777027639,-0.04098236845585046,-0.00366006690034543,-0.0440656198604862,0.0012545877919818633,-0.025000661510762794,-0.048303880973783596,-0.03674845483075074,-0.02712584602869586
2019-05-21,2.36,2.43,-0.156,-0.042,2.6623,3.299,-0.607257,-0.011013,27657.240234375,25877.330078125,379.5,7785.72021484375,21272.44921875,91.50775146484376,32.00737762451172,0.0030859999824315,1272.0,0.0846169963479042,0.3976030051708221,255.21588134765625,7963.32763671875,0.0002,0.0002,-1e-05,0.0,3e-05,0.000273,6.19e-05,0.0001693,-0.004702668752963666,0.007658698915163545,0.005390016663644917,0.010761957357637741,-0.0013755405192479749,0.00015383741200289592,0.08819505425665296,0.014689304879771464,-0.003218067708084531,-0.0027262903524357803,-0.0010055399184726536,0.013218891778740723,-0.0018795372127934414
2019-05-22,2.37,2.39,-0.154,-0.048,2.7,3.3264,-0.604079,-0.015695,27705.939453125,25776.609375,379.1900024414063,7750.83984375,21283.369140625,88.2105712890625,31.422042846679688,0.0029390000272542,1273.5999755859375,0.0779550001025199,0.3766370117664337,244.69891357421875,7680.06640625,0.0001,-0.0004,2e-05,-6e-05,0.000377,0.000274,3.18e-05,-4.68e-05,0.0017592642469334402,-0.003899831526647907,-0.0008171916720862999,-0.004490109723692007,0.0005132046585242849,-0.0366968724404316,-0.01845677887993953,-0.04880635153793039,0.0012570520207180209,-0.08200341044784652,-0.05417214291527683,-0.04208124990917853,-0.0362187635444826
